,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
3136,Tweet,SecureWorld,4641,3409,261,14007,,,,SecureWorld,48,300,1,1514,,,
3137,RT,cdfyiJWKHVcUzvr,314,541,0,2916,,,,thestevennabil,402566,3386,618,12331,,,
3138,RT,zaytoon58087976,13,13,0,676,,,,thestevennabil,402566,3386,618,12331,,,
3139,RT,outkult,26,218,0,210,,,,FennecBabe,48,300,1,1514,,,
3140,RT,mgamblex,115,82,3,14273,,,,FennecBabe,48,300,1,1514,,,
3141,Tweet,nonrev4life,269,705,1,288,,,,nonrev4life,48,300,1,1514,,,
3142,Tweet,FennecBabe,48,300,1,1514,,,,FennecBabe,48,300,1,1514,,,
3143,RT,moccothepro,182,606,0,6325,,,,MKurtzke,37,97,0,1354,,,
3144,RT,CaregnatoLucca,12,22,0,200,,,,BrandNew535,43019,1304,465,7521,,,
3145,Tweet,whisperwatch,966,197,70,41339,,,,whisperwatch,43019,1304,465,7521,,,
3146,Tweet,whisperwatch,966,197,70,41339,,,,whisperwatch,43019,1304,465,7521,,,
3147,RT,MingxiaZhang2,1978,4313,12,176744,,,,mpukita,62740,67242,17,68882,,,
3148,RT,kathysgallery,10765,10543,415,61192,,,,BrandNew535,43019,1304,465,7521,,,
3149,RT,julynewmoon,9193,9459,265,90075,,,,BrandNew535,43019,1304,465,7521,,,
3150,Tweet,whisperwatch,966,197,70,41339,,,,whisperwatch,43019,1304,465,7521,,,
3151,RT,LongMeaghan,362,1260,18,724,,,,willowtreeapps,2634,776,201,2576,,,
3152,RT,ttommyunger,648,93,36,103033,,,,blysx,9225,9140,509,167170,,,
3153,RT,DirkYasko,135,450,0,12389,,,,freenaynow,46932,51280,45,290635,,,
3154,RT,F4F4Trump,4194,4240,0,1111,,,,iGiSocialMedia,4943,5069,10,4913,,,
3155,RT,F4F4Trump,4194,4240,0,1111,,,,iGiSocialMedia,4943,5069,10,4913,,,
3156,Tweet,ruffrider4vida,187,628,0,4212,,,,ruffrider4vida,4943,5069,10,4913,,,
3157,RT,PTSNetwork,1041,1351,0,841,,,,iGiSocialMedia,4943,5069,10,4913,,,
3158,RT,PTSNetwork,1041,1351,0,841,,,,iGiSocialMedia,4943,5069,10,4913,,,
3159,RT,mcarmichael16,820,399,0,96743,,,,mpukita,62740,67242,17,68882,,,
3160,RT,lienacdm,18,339,33,45642,,,,grover1975,18,49,0,561,,,
3161,RT,iGi4USA,1016,1178,0,769,,,,iGiSocialMedia,4943,5069,10,4913,,,
3162,RT,iGi4USA,1016,1178,0,769,,,,iGiSocialMedia,4943,5069,10,4913,,,
3163,Tweet,CommonAgendaUSA,189,1025,0,4829,,,,CommonAgendaUSA,4943,5069,10,4913,,,
3164,RT,dma4him,22366,22013,3,19365,,,,mpukita,62740,67242,17,68882,,,
3165,RT,wotad717679,24776,26129,4,34468,,,,mpukita,62740,67242,17,68882,,,
3166,RT,PostaVictor,1686,2339,2,57765,,,,mpukita,62740,67242,17,68882,,,
3167,RT,JrSoulPtrl,1549,5001,59,124814,,,,danabrams,284652,489,1969,10921,,,
3168,RT,1115dorna,26573,29226,3,26827,,,,mpukita,62740,67242,17,68882,,,
3169,Tweet,CWiebrecht,206,287,0,4607,,,,CWiebrecht,62740,67242,17,68882,,,
3170,Tweet,shepersists2,941,1271,3,27891,,,,shepersists2,62740,67242,17,68882,,,
3171,RT,sbingcb,1306,1376,116,47689,,,,erikjburch,3470,4790,89,13417,,,
3172,Tweet,shepersists2,941,1271,3,27891,,,,shepersists2,3470,4790,89,13417,,,
3173,RT,idacalipatriot,8938,9640,4,6820,,,,mpukita,62740,67242,17,68882,,,
3174,RT,SOMalle41824530,879,1569,0,12837,,,,mpukita,62740,67242,17,68882,,,
3175,RT,RoshunShah,507,729,6,34798,,,,BrandNew535,43019,1304,465,7521,,,
3176,RT,Debwrightjones,45422,38235,37,179508,,,,mpukita,62740,67242,17,68882,,,
3177,RT,RachelLucca1,4351,4990,9,74851,,,,CommieAngel,4619,5014,6,16904,,,
3178,RT,lifeandmorelife,3814,3342,105,80180,,,,whisperwatch,966,197,70,41339,,,
3179,RT,gyhazeleyes,4342,4853,64,81767,,,,freenaynow,46932,51280,45,290635,,,
3180,RT,NYC_Loving_Girl,562,574,7,6908,,,,SPrineas,2530,81,177,54094,,,
3181,Tweet,ShonH_Kim,78,83,1,1166,,,,ShonH_Kim,2530,81,177,54094,,,
3182,RT,kenrock45,5084,5686,4,26337,,,,mpukita,62740,67242,17,68882,,,
3183,Tweet,RodHarrel,704,1737,2,12247,,,,RodHarrel,62740,67242,17,68882,,,
3184,RT,WillyWally2020,1000,1411,1,3413,,,,DavidShuster,80182,23119,3053,13386,,,
3185,RT,mclaren_roberts,10206,10934,0,24818,,,,mpukita,62740,67242,17,68882,,,
3186,RT,jade_nyc,3135,3647,194,80528,,,,BrandNew535,43019,1304,465,7521,,,
3187,Tweet,LeniDiamond,2489,4985,23,72570,,,,LeniDiamond,43019,1304,465,7521,,,
3188,RT,Crazydanelady_3,520,1603,8,2128,,,,mpukita,62740,67242,17,68882,,,
3189,RT,Patri0tiCupcake,6058,6181,1,43810,,,,mpukita,62740,67242,17,68882,,,
3190,RT,redd3451,24541,16991,6,57543,,,,mpukita,62740,67242,17,68882,,,
3191,Tweet,whisperwatch,966,197,70,41339,,,,whisperwatch,62740,67242,17,68882,,,
3192,RT,patty5473,843,1884,3,8234,,,,FogCityMidge,21316,1912,64,2586,,,
3193,RT,WhenIsIt2Late,2305,2331,140,89229,,,,TheRealRJo,3494,3183,13,27115,,,
3194,Tweet,TheRealRJo,3494,3183,13,27115,,,,TheRealRJo,3494,3183,13,27115,,,
3195,RT,daboss49er,490,1038,0,2285,,,,mpukita,62740,67242,17,68882,,,
3196,Tweet,levitator1g,854,860,16,4066,,,,levitator1g,62740,67242,17,68882,,,
3197,RT,Debbideedoodah,39037,39863,8,72430,,,,mpukita,62740,67242,17,68882,,,
3198,Tweet,DonnaMaineSmith,1947,3184,84,36667,,,,DonnaMaineSmith,62740,67242,17,68882,,,
3199,RT,xZETY,882,2104,1,3921,,,,mikandynothem,221978,115063,1484,86864,,,
