,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
567,RT,DonaldP10827874,80,113,1,6792,,,,HajjiAndreas,201,209,1,2316,,,
568,RT,Posi4hope,208,677,7,10726,,,,Novelcoronaviru,126,6,1,45,,,
569,RT,tamargaye,1307,2339,233,88018,,,,MEGVT78,2928,3112,5,23890,,,
570,RT,levi_cats,49,2171,0,979,,,,reaIChapo,17,19,0,46,,,
571,RT,netminnow,4614,5046,700,679576,,,,GodelieveTT,2144,1597,78,52787,,,
572,RT,PamAqua2017,1401,2179,15,51133,,,,GOVERNING,80491,1982,1325,56064,,,
573,RT,ImpactDemocracy,41715,29829,602,51328,,,,GOVERNING,80491,1982,1325,56064,,,
574,Tweet,GOVERNING,80491,1982,1325,56064,,,,GOVERNING,80491,1982,1325,56064,,,
575,RT,sirw0lfgang,124,217,21,881,,,,reaIChapo,17,19,0,46,,,
576,RT,Michaelrm62968,445,1150,1,21038,,,,aim33rs,78,353,0,1171,,,
577,Tweet,JonahBlank,4045,596,135,21709,,,,JonahBlank,78,353,0,1171,,,
578,RT,mdp4202,4976,4127,318,252858,,,,People4Bernie,180749,1468,1448,114430,,,
579,RT,BirdTypeGlitch,172,343,2,48040,,,,reaIChapo,17,19,0,46,,,
580,RT,trishguajardo,966,671,127,46180,,,,Christarchist,5822,5588,46,21085,,,
581,RT,DrilEfdee,2577,2691,1,65508,,,,j_gelling,27911,25723,58,28149,,,
582,RT,NewParisite,4100,4763,44,79371,,,,aim33rs,78,353,0,1171,,,
583,Tweet,IwasDavidFagin,791,1991,0,3499,,,,IwasDavidFagin,78,353,0,1171,,,
584,RT,mcnamaraorama,2443,2860,161,166551,,,,reaIChapo,17,19,0,46,,,
585,RT,Posi4hope,208,677,7,10726,,,,sukha_Amlii,11,9,0,59,,,
586,RT,donilo252525,1026,658,98,91104,,,,aim33rs,78,353,0,1171,,,
587,Tweet,CinemaAndLife,1722,4882,7,29405,,,,CinemaAndLife,78,353,0,1171,,,
588,Tweet,newsmanone,6038,230,280,891,,,,newsmanone,78,353,0,1171,,,
589,RT,psychwriter1515,4427,3761,69,192856,,,,reaIChapo,17,19,0,46,,,
590,RT,AnitaLe56385922,504,759,0,37973,,,,IpamsySands,3143,2254,2,1630,,,
