,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2794,Tweet,Alatarielle,223,373,8,4981,,,,Alatarielle,2112,847,23,12672,,,
2795,Tweet,nestmojica,5,74,0,36,,,,nestmojica,2112,847,23,12672,,,
2796,Tweet,cassyk75,3459,3895,16,13847,,,,cassyk75,2112,847,23,12672,,,
2797,Tweet,Naveenics,401,582,7,9018,,,,Naveenics,2112,847,23,12672,,,
2798,Tweet,TheAISkyNet,257,399,23,39163,,,,TheAISkyNet,2112,847,23,12672,,,
2799,Tweet,sasiv76,147,371,1,6281,,,,sasiv76,2112,847,23,12672,,,
2800,RT,Gnrl_Strike_Bot,415,1,1,13994,,,,HanaOLewis,155,10,2,10634,,,
2801,Tweet,jessamaallender,10,86,0,117,,,,jessamaallender,155,10,2,10634,,,
2802,Tweet,cherninator,14,70,0,311,,,,cherninator,155,10,2,10634,,,
2803,RT,elisha1022,2927,4414,186,242344,,,,t0n1h1ll,66,340,1,2050,,,
2804,Tweet,TheAISkyNet,257,399,23,39163,,,,TheAISkyNet,66,340,1,2050,,,
2805,RT,AthicaSpeaks,78,288,16,4750,,,,Ihavenousefora1,1391,4157,5,8759,,,
2806,Tweet,Emma_Romola,280,655,1,16198,,,,Emma_Romola,1391,4157,5,8759,,,
2807,Tweet,babydolltrucke1,263,658,50,7509,,,,babydolltrucke1,1391,4157,5,8759,,,
2808,Tweet,BernieBroAaron,45,147,0,1076,,,,BernieBroAaron,1391,4157,5,8759,,,
2809,RT,Angelign,2677,3280,55,26207,,,,philosophrob,25220,1470,104,3563,,,
2810,RT,Wangenstein,2556,1986,113,153756,,,,LeniDiamond,2491,4985,23,72541,,,
2811,Tweet,nightma75551423,7,76,0,64,,,,nightma75551423,2491,4985,23,72541,,,
2812,Tweet,aminamohamed124,4,39,0,52,,,,aminamohamed124,2491,4985,23,72541,,,
2813,Tweet,OlyaKL,359,1046,31,6303,,,,OlyaKL,2491,4985,23,72541,,,
2814,Tweet,jessamaallender,10,86,0,117,,,,jessamaallender,2491,4985,23,72541,,,
2815,Tweet,PhoggMachine,26,201,1,3592,,,,PhoggMachine,2491,4985,23,72541,,,
2816,RT,ShreoshiB,2833,2304,97,165318,,,,ShavedWookieeRN,4067,3937,5,16522,,,
2817,RT,lulu111593,941,1269,3,97043,,,,EpsteinWas,31,291,0,323,,,
2818,Tweet,OlyaKL,359,1046,31,6303,,,,OlyaKL,31,291,0,323,,,
2819,Tweet,jessamaallender,10,86,0,117,,,,jessamaallender,31,291,0,323,,,
2820,Tweet,DyinHobo,37,139,0,369,,,,DyinHobo,31,291,0,323,,,
2821,RT,Hal4,2090,4983,864,129277,,,,uvamix,76,55,2,2334,,,
2822,RT,ExquisiteAloof,258,1209,1,9454,,,,bruhhnope,161,416,1,780,,,
2823,RT,FuckBarrel_PAC,4085,5311,260,88143,,,,bruhhnope,161,416,1,780,,,
2824,RT,FuckBarrel_PAC,4085,5311,260,88143,,,,LuisN_94,137,704,1,8983,,,
2825,RT,RealMarcusJCage,3027,4770,1,6281,,,,bruhhnope,161,416,1,780,,,
2826,RT,Hal4,2090,4983,864,129277,,,,lechedecocomami,298,762,2,3877,,,
2827,RT,TC1776,10108,10723,42,124355,,,,Americasian1,8731,7078,2,10263,,,
2828,Tweet,Mom_Of_Critters,6,62,0,260,,,,Mom_Of_Critters,8731,7078,2,10263,,,
2829,RT,citizen230,407,460,1,2234,,,,blakeleymusic,2000,441,18,15905,,,
2830,Tweet,BernieBroAaron,45,147,0,1076,,,,BernieBroAaron,2000,441,18,15905,,,
2831,RT,jamiearrington,680,613,60,71003,,,,TeamTrump,1458219,101,3451,18565,,,
2832,RT,SouthernGirl_56,2362,2473,76,113073,,,,DanMuskin,50588,28619,27,1488,,,
2833,Tweet,ShavedWookieeRN,4067,3937,5,16522,,,,ShavedWookieeRN,50588,28619,27,1488,,,
2834,RT,DanielChgel,1034,1147,0,42243,,,,TeamTrump,1458219,101,3451,18565,,,
2835,Tweet,cherninator,14,70,0,311,,,,cherninator,1458219,101,3451,18565,,,
2836,Tweet,Thor_LM,2130,4949,5,66110,,,,Thor_LM,1458219,101,3451,18565,,,
2837,Tweet,BrontHelium,27,135,0,1089,,,,BrontHelium,1458219,101,3451,18565,,,
2838,Tweet,LuisN_94,137,704,1,8983,,,,LuisN_94,1458219,101,3451,18565,,,
2839,Tweet,BernieBroAaron,45,147,0,1076,,,,BernieBroAaron,1458219,101,3451,18565,,,
2840,Tweet,HanaOLewis,155,10,2,10634,,,,HanaOLewis,1458219,101,3451,18565,,,
2841,Tweet,azardsphere,3374,3588,58,57731,,,,azardsphere,1458219,101,3451,18565,,,
2842,RT,LNMRadio,963,961,0,981,,,,TeamTrump,1458219,101,3451,18565,,,
2843,Tweet,cherninator,14,70,0,311,,,,cherninator,1458219,101,3451,18565,,,
2844,Tweet,LuisN_94,137,704,1,8983,,,,LuisN_94,1458219,101,3451,18565,,,
2845,RT,iowanpolitics,2238,2198,76,29633,,,,bruhhnope,161,416,1,780,,,
2846,RT,Autumtear1,3096,3451,1,23304,,,,JustInformU,50717,176,187,5623,,,
