,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
1267,RT,deadbeet,31,60,2,233,,,,RevJJackson,163491,12049,1520,50019,,,
1268,RT,SKLindseyArtist,503,1260,54,11843,,,,RevJJackson,163491,12049,1520,50019,,,
1269,RT,TrumpVoterSlayr,67,423,0,903,,,,RevJJackson,163491,12049,1520,50019,,,
1270,RT,DayGautier,1364,849,16,369647,,,,RevJJackson,163491,12049,1520,50019,,,
1271,RT,JimBlaine,2667,2171,59,17117,,,,RevJJackson,163491,12049,1520,50019,,,
1272,RT,Burton52Cathy,1111,1682,23,1675,,,,RevJJackson,163491,12049,1520,50019,,,
1273,RT,forastieri,23166,978,532,80941,,,,RevJJackson,163491,12049,1520,50019,,,
1274,RT,OldSaukRiver,4097,5003,306,194326,,,,RoseAnnDeMoro,56063,1665,772,15611,,,
1275,RT,delarunwoman,1550,2561,19,123023,,,,RevJJackson,163491,12049,1520,50019,,,
1276,RT,trevorhache,1113,1794,41,6723,,,,RevJJackson,163491,12049,1520,50019,,,
1277,RT,cathycarroll56,525,495,2,18794,,,,RevJJackson,163491,12049,1520,50019,,,
1278,RT,afjfromfla,368,1043,4,518,,,,RevJJackson,163491,12049,1520,50019,,,
1279,RT,kellymedina1967,101,1008,1,959,,,,RevJJackson,163491,12049,1520,50019,,,
1280,RT,ElJotaPablo,434,922,0,2668,,,,RevJJackson,163491,12049,1520,50019,,,
1281,RT,LeftistAutist,931,800,12,8064,,,,RevJJackson,163491,12049,1520,50019,,,
1282,RT,tazlo73_jon,49,178,0,3140,,,,RevJJackson,163491,12049,1520,50019,,,
1283,RT,_dfister,2,116,0,14,,,,RevJJackson,163491,12049,1520,50019,,,
1284,RT,jewstein3000,3009,1259,51,39802,,,,RevJJackson,163491,12049,1520,50019,,,
1285,RT,Mcwill81,19,396,0,993,,,,RevJJackson,163491,12049,1520,50019,,,
1286,Tweet,ChrisGillmann,275,566,10,20044,,,,ChrisGillmann,163491,12049,1520,50019,,,
1287,RT,_E_Litt,16,465,0,260,,,,RevJJackson,163491,12049,1520,50019,,,
1288,RT,DrSMYSherazi,81,154,0,2278,,,,RevJJackson,163491,12049,1520,50019,,,
1289,RT,shereile,115,36,0,1764,,,,RevJJackson,163491,12049,1520,50019,,,
1290,RT,glotusflwr,605,282,11,26929,,,,RevJJackson,163491,12049,1520,50019,,,
1291,RT,KarenCottenden,1324,774,77,9788,,,,DrJillStein,270508,1660,3648,13798,,,
