A_handle,B_handle,type
TibeluthedT,TibeluthedT,Tweet
IFDrinkLib,IFDrinkLib,Tweet
flatearthmoon,flatearthmoon,Tweet
BotSiduri,FlatEarthBro,RT
BotSiduri,DAPFpodcast,RT
BotSiduri,piamtperez,RT
BotSiduri,GogetaTheSavage,RT
economymytomato,FlatEarthDoc,RT
tathrynkarp,FlatEarthOrg,RT
YKeyALCEj78NGPC,FlatEarthDoc,RT
Pure19_94,StanleyRoberts,RT
AdFreeTalkRadio,DAPFpodcast,RT
GogetaTheSavage,GogetaTheSavage,Tweet
BadIdeasPodcast,DAPFpodcast,RT
MassaVitao,SamuraiPizzaCop,RT
piamtperez,piamtperez,Tweet
TKOprovidence,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
