A_handle,B_handle,type
NASALIES7,NASALIES7,Tweet
lrstriker,DSL1912,RT
TibeluthedT,TibeluthedT,Tweet
LFnord,LFnord,Tweet
OpinionsMiOwn,Itsmedanlee16,RT
ericarios73,FlatFlix,RT
ericarios73,FlatFlix,RT
FlatFlix,FlatFlix,Tweet
OpinionsMiOwn,FlatEarthTshirt,RT
BotSiduri,HujumesipeT,RT
FlatFlix,FlatFlix,RT
nanaof47,nanaof47,Tweet
FlatFlix,flatmotionless,RT
kaisershahid_,kaisershahid_,Tweet
mohanna,ashoukaFE,RT
NASALIES7,alvinbryan21,RT
NASALIES7,Spacehehehe,RT
NASALIES7,Spacehehehe,RT
BigLes336,alvinbryan21,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,Abo_Khalaf_223,RT
WeenieLinguini,gorgeouskykhan,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,PeterOHanrahaH,RT
WeenieLinguini,brucefenderb,RT
HujumesipeT,HujumesipeT,Tweet
justada56196276,alvinbryan21,RT
Abo_Khalaf_223,Abo_Khalaf_223,Tweet
gorgeouskykhan,gorgeouskykhan,Tweet
MarasieaM,alvinbryan21,RT
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,Janitor_Who,RT
ConstitutionNd,Janitor_Who,RT
ConstitutionNd,ConstitutionOR,RT
MEConstitution,Quercuas,RT
MEConstitution,brucefenderb,RT
MEConstitution,PeterOHanrahaH,RT
MEConstitution,HujumesipeT,RT
MEConstitution,Janitor_Who,RT
XxjupiterxxA,XxjupiterxxA,Tweet
CPoo82,CPoo82,Tweet
PeterOHanrahaH,PeterOHanrahaH,Tweet
LsdLab,LsdLab,Tweet
viepien,mbnd1998,RT
Motshi3,ashoukaFE,RT
Motshi3,harmayani_fe,RT
karen_lebeter,Nott_Like_The_O,RT
Numba1soulbro,DSL1912,RT
Mianmath83,Mianmath83,Tweet
brucefenderb,brucefenderb,Tweet
chuckytales710,Rajhiim,RT
Quercuas,Quercuas,Tweet
wiretechgirl,AngelsFreak7,RT
ibrahimkarakec4,ibrahimkarakec4,Tweet
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,Rajhiim,RT
WeenieLinguini,TaleOfOnora,RT
WeenieLinguini,CobraElDiablo,RT
TheDailyPlane,TheDailyPlane,Tweet
drewwood30,DSL1912,RT
hugh_bothwell,hugh_bothwell,Tweet
CobraElDiablo,CobraElDiablo,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
RoyRobinson69,TheRealLilKraka,RT
Rajhiim,Rajhiim,Tweet
CosmicInglewood,CosmicInglewood,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
TaleOfOnora,TaleOfOnora,Tweet
CobraElDiablo,CobraElDiablo,Tweet
SeydellJr,SeydellJr,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
hugh_bothwell,hugh_bothwell,Tweet
ashoukaFE,ashoukaFE,Tweet
CobraElDiablo,CobraElDiablo,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
ABurdiez,ABurdiez,Tweet
hugh_bothwell,hugh_bothwell,Tweet
Kris_Johnson1,Kris_Johnson1,Tweet
FlatEarthExpert,FlatEarthExpert,Tweet
TarotDivine,DSL1912,RT
chris_is_oecher,chris_is_oecher,Tweet
Royal_Time,alvinbryan21,RT
TibeluthedT,TibeluthedT,Tweet
chris_is_oecher,chris_is_oecher,Tweet
davidjcaron,davidjcaron,Tweet
davidjcaron,davidjcaron,Tweet
chris_is_oecher,chris_is_oecher,Tweet
BotSiduri,ixi0310,RT
BotSiduri,HujumesipeT,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,ixi0310,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,sputnik67,RT
goofy_1_goofy,goofy_1_goofy,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
Been_Wondering,Been_Wondering,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
HumanityWake,HumanityWake,Tweet
mhmmdakhmadi,Spacehehehe,RT
101Kurukafa,101Kurukafa,Tweet
mamazilli,mamazilli,Tweet
CobraElDiablo,CobraElDiablo,Tweet
HumanityWake,HumanityWake,Tweet
HujumesipeT,HujumesipeT,Tweet
ixi0310,ixi0310,Tweet
Janitor_Who,Janitor_Who,Tweet
sputnik67,sputnik67,Tweet
rob46203robert,flat_earth_fans,RT
flatearthmoon,flatearthmoon,Tweet
salo_sandoval,CharlyGonCast,RT
rob46203robert,alvinbryan21,RT
flatearthmoon,flatearthmoon,Tweet
flatearthmoon,flatearthmoon,Tweet
flatearthmoon,flatearthmoon,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
ConstitutionNd,ConstitutionOR,RT
theathens619,Terraplanito,RT
MEConstitution,lib7473,RT
MEConstitution,TakingTheAsk,RT
MEConstitution,HujumesipeT,RT
TakingTheAsk,TakingTheAsk,Tweet
Wahmeiman,Wahmeiman,Tweet
lib7473,lib7473,Tweet
DarrenR81692532,Spacehehehe,RT
ItsFlatFolks,ItsFlatFolks,Tweet
chris_is_oecher,chris_is_oecher,Tweet
chris_is_oecher,chris_is_oecher,Tweet
the_x_lady,Spacehehehe,RT
flatearthmoon,flatearthmoon,Tweet
PxlJedi,Nott_Like_The_O,RT
CobraElDiablo,CobraElDiablo,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
WeenieLinguini,Terraplanito,RT
WeenieLinguini,chandlerbbbing,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,HiddenMountain7,RT
WeenieLinguini,AlkisBahattin,RT
WeenieLinguini,flat_earth_fans,RT
Terraplanito,Terraplanito,Tweet
CobraElDiablo,CobraElDiablo,Tweet
chandlerbbbing,chandlerbbbing,Tweet
AngelsFreak7,AngelsFreak7,Tweet
flatearthmoon,flatearthmoon,Tweet
thereisnospnBRA,thereisnospnBRA,Tweet
CobraElDiablo,CobraElDiablo,Tweet
CobraElDiablo,CobraElDiablo,Tweet
marioreyeszarco,DSL1912,RT
HiddenMountain7,HiddenMountain7,Tweet
flatathar,harmayani_fe,RT
Taeslicc,DSL1912,RT
CobraElDiablo,CobraElDiablo,Tweet
CobraElDiablo,CobraElDiablo,Tweet
D_P_com,D_P_com,Tweet
flatearthmoon,flatearthmoon,Tweet
AlkisBahattin,AlkisBahattin,Tweet
flat_earth_fans,flat_earth_fans,Tweet
genna65,alvinbryan21,RT
flatearthmoon,flatearthmoon,Tweet
CobraElDiablo,CobraElDiablo,Tweet
iZino5,Spacehehehe,RT
iZino5,Spacehehehe,RT
AfrikPinocchio,DSL1912,RT
alvinbryan21,alvinbryan21,Tweet
WeenieLinguini,tross04401,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,alvinbryan21,RT
WeenieLinguini,MasterDebateNet,RT
WeenieLinguini,iLoveToHeal,RT
tross04401,tross04401,Tweet
hugh_bothwell,hugh_bothwell,Tweet
firlinurohman,Spacehehehe,RT
Itcy14,Spacehehehe,RT
AlmaIwonder,DSL1912,RT
Itcy14,Spacehehehe,RT
TibeluthedT,TibeluthedT,Tweet
alvinbryan21,alvinbryan21,Tweet
alvinbryan21,alvinbryan21,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
ludmilaasaeva,Spacehehehe,RT
BotSiduri,6thsense_videos,RT
BotSiduri,iLoveToHeal,RT
BotSiduri,MasterDebateNet,RT
BotSiduri,HujumesipeT,RT
rsfbritt57,bigredwavenow,RT
ILLYTHAGREAT,Spacehehehe,RT
_42________,_42________,Tweet
MagAussie,DSL1912,RT
xena1711,Spacehehehe,RT
MasterDebateNet,MasterDebateNet,Tweet
iLoveToHeal,iLoveToHeal,Tweet
6thsense_videos,6thsense_videos,Tweet
JasonTweets1980,JasonTweets1980,Tweet
alvinbryan21,alvinbryan21,Tweet
HumanityWake,HumanityWake,Tweet
HujumesipeT,HujumesipeT,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
hugh_bothwell,hugh_bothwell,Tweet
facebones777,DSL1912,RT
JungleMom12,Spacehehehe,RT
flatearthmoon,flatearthmoon,Tweet
devin_salesman,AenesidemusOZ,RT
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
Constitution_NH,DSL1912,RT
ConstitutionNd,ConstitutionNd,Tweet
ConstitutionNd,ConstitutionOR,RT
WeenieLinguini,daniisworldwide,RT
WeenieLinguini,DSL1912,RT
WeenieLinguini,Mikegeejay,RT
WeenieLinguini,Spacehehehe,RT
hugh_bothwell,hugh_bothwell,Tweet
MEConstitution,daniisworldwide,RT
MEConstitution,HujumesipeT,RT
MEConstitution,DSL1912,RT
JorgeOrgon777,harmayani_fe,RT
daniisworldwide,daniisworldwide,Tweet
DSL1912,DSL1912,Tweet
hugh_bothwell,hugh_bothwell,Tweet
Mikegeejay,Mikegeejay,Tweet
Mabdullah131807,Spacehehehe,RT
JoeWBowles,JoeWBowles,Tweet
D_P_com,earthisaglobe,RT
raycommenting,flat_earth_fans,RT
MrT_MissPiggy,MrT_MissPiggy,Tweet
ReidasBlueChips,Spacehehehe,RT
printman00,Wifizoom,RT
pixelcraft25,Spacehehehe,RT
p_golinski,p_golinski,Tweet
D_P_com,D_P_com,Tweet
stalkinryan,Spacehehehe,RT
Ag_Arifsofyan,Spacehehehe,RT
voxrox55,harmayani_fe,RT
Spacehehehe,Spacehehehe,Tweet
ALANDexter2020,Nott_Like_The_O,RT
RCB1172,bigredwavenow,RT
FLATHORIZON,harmayani_fe,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,HujumesipeT,RT
chris_is_oecher,chris_is_oecher,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
p_golinski,p_golinski,Tweet
chris_is_oecher,chris_is_oecher,Tweet
teite99,MasterDebateNet,RT
SolarElectrics,SolarElectrics,Tweet
SolarElectrics,SolarElectrics,Tweet
TibeluthedT,TibeluthedT,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
D_P_com,MasterDebateNet,RT
ritarapidissima,TPiatta,RT
BotSiduri,harmayani_fe,RT
BotSiduri,HujumesipeT,RT
Abdou64533132,harmayani_fe,RT
goofy_1_goofy,goofy_1_goofy,Tweet
Spigot696,Spigot696,Tweet
HujumesipeT,HujumesipeT,Tweet
WeenieLinguini,harmayani_fe,RT
WeenieLinguini,phy_add,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ConstitutionNd,RT
WeenieLinguini,naky_thompson,RT
harmayani_fe,harmayani_fe,Tweet
jsmonarch,jsmonarch,Tweet
AngieAlsabrook,bigredwavenow,RT
phy_add,phy_add,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
ConstitutionNd,ConstitutionOR,RT
Chipper6156,Spacehehehe,RT
MEConstitution,Thor_52,RT
MEConstitution,HujumesipeT,RT
naky_thompson,naky_thompson,Tweet
Thor_52,Thor_52,Tweet
goofy_1_goofy,goofy_1_goofy,Tweet
CarroLunas,phy_add,RT
goofy_1_goofy,goofy_1_goofy,Tweet
TPiatta,TPiatta,Tweet
athena52872538,grilabo,RT
WeenieLinguini,AlarconSofiia,RT
WeenieLinguini,AlarconSofiia,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,I_WriteStuff,RT
Estebon_M,TrustFlatEarth,RT
AlarconSofiia,AlarconSofiia,Tweet
AlarconSofiia,AlarconSofiia,Tweet
TruthRtc,harmayani_fe,RT
Duncanspall1,Spacehehehe,RT
TibeluthedT,TibeluthedT,Tweet
I_WriteStuff,I_WriteStuff,Tweet
BotSiduri,Staff1530,RT
BotSiduri,HujumesipeT,RT
SmokeBreakMusic,slayckx,RT
WeenieLinguini,I_WriteStuff,RT
WeenieLinguini,HujumesipeT,RT
0ooze1,warriorofwoke,RT
PennilessScribe,AenesidemusOZ,RT
I_WriteStuff,I_WriteStuff,Tweet
I_WriteStuff,I_WriteStuff,Tweet
I_WriteStuff,I_WriteStuff,Tweet
lime_link,AngelsFreak7,RT
I_WriteStuff,I_WriteStuff,Tweet
Staff1530,Staff1530,Tweet
Mike_Saloomon,richicallaeci,RT
HujumesipeT,HujumesipeT,Tweet
DenzilDamon,harmayani_fe,RT
DenzilDamon,hollyhaygood,RT
DenzilDamon,ChungusManager,RT
DenzilDamon,Spacehehehe,RT
DenzilDamon,Spacehehehe,RT
DenzilDamon,Spacehehehe,RT
DenzilDamon,itsFlat5,RT
DenzilDamon,DenzilDamon,Tweet
FlatEarthRT,AngelsFreak7,RT
kethkett,Spacehehehe,RT
DenzilDamon,DenzilDamon,Tweet
BrightEnlight,BrightEnlight,Tweet
Not_Glori0us,Not_Glori0us,Tweet
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
DenzilDamon,DenzilDamon,Tweet
ConstitutionNd,ConstitutionOR,RT
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
MEConstitution,Quercuas,RT
MEConstitution,bananaman6915,RT
MEConstitution,Oblomov,RT
MEConstitution,AngelsFreak7,RT
MEConstitution,Flying_Emeralds,RT
MEConstitution,HujumesipeT,RT
jsmonarch,jsmonarch,Tweet
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,Flying_Emeralds,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,Oblomov,RT
WeenieLinguini,Quercuas,RT
Janitor_Who,Janitor_Who,Tweet
Flying_Emeralds,Flying_Emeralds,Tweet
AngelsFreak7,AngelsFreak7,Tweet
Quercuas,MarakoTimmy,RT
Oblomov,Oblomov,Tweet
bananaman6915,bananaman6915,Tweet
Quercuas,Quercuas,Tweet
komura17,R49V7FmAbGNanNk,RT
komura17,R49V7FmAbGNanNk,RT
ArseniKarp,MarakoTimmy,RT
ArseniKarp,MarakoTimmy,RT
ArseniKarp,PeaceWTF,RT
ArseniKarp,TrustFlatEarth,RT
ArseniKarp,IronRealmMedia,RT
ArseniKarp,OutcastHero72,RT
MarakoTimmy,MarakoTimmy,Tweet
WeenieLinguini,MarakoTimmy,RT
WeenieLinguini,TrustFlatEarth,RT
WeenieLinguini,IronRealmMedia,RT
MarakoTimmy,MarakoTimmy,Tweet
PeaceWTF,PeaceWTF,Tweet
Yeetman70411613,Yeetman70411613,Tweet
FEmorlandnohD,FEVeganWitch,RT
Tassdar3,Tassdar3,Tweet
Yumyumtasty1,Yumyumtasty1,Tweet
alsosprachgolem,alsosprachgolem,Tweet
luvcorgis,Nott_Like_The_O,RT
TrustFlatEarth,TrustFlatEarth,Tweet
BotSiduri,Constitution_NH,RT
BotSiduri,ConstitutionOR,RT
BotSiduri,OutcastHero72,RT
BotSiduri,HujumesipeT,RT
HighLordSheriff,Nott_Like_The_O,RT
IronRealmMedia,IronRealmMedia,Tweet
Krayneg1,Its_Stationary,RT
WeenieLinguini,OutcastHero72,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,ConstitutionOR,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,FEVeganWitch,RT
OutcastHero72,OutcastHero72,Tweet
OneDuhMan,OneDuhMan,Tweet
HujumesipeT,HujumesipeT,Tweet
ConstitutionOR,ConstitutionOR,Tweet
Constitution_NH,Constitution_NH,Tweet
MEConstitution,lord_lyons,RT
BeVau2,bigredwavenow,RT
MEConstitution,Marty_Seaward,RT
MEConstitution,AdamJoshDotCom,RT
MEConstitution,CourierPaul71,RT
MEConstitution,FEVeganWitch,RT
FEVeganWitch,FEVeganWitch,Tweet
WeenieLinguini,TheDailyPlane,RT
WeenieLinguini,Jaescott26,RT
WeenieLinguini,CourierPaul71,RT
WeenieLinguini,AdamJoshDotCom,RT
CourierPaul71,VerumBellator1,RT
TheDailyPlane,TheDailyPlane,Tweet
Jaescott26,Jaescott26,Tweet
CharlyGonCast,CharlyGonCast,Tweet
CourierPaul71,CourierPaul71,Tweet
AdamJoshDotCom,AdamJoshDotCom,Tweet
Marty_Seaward,Marty_Seaward,Tweet
lord_lyons,lord_lyons,Tweet
lord_lyons,lord_lyons,Tweet
CurseC4,CurseC4,Tweet
watersignmind,watersignmind,Tweet
gmombuffy,ErikReichenb4ch,RT
Thor_52,Thor_52,Tweet
ErikReichenb4ch,ErikReichenb4ch,Tweet
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,ImplantDetected,RT
WeenieLinguini,ImplantDetected,RT
WeenieLinguini,TakingTheAsk,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,MI_Constitution,RT
TibeluthedT,TibeluthedT,Tweet
hugh_bothwell,hugh_bothwell,Tweet
hugh_bothwell,hugh_bothwell,Tweet
BotSiduri,MI_Constitution,RT
BotSiduri,Constitution_NH,RT
BotSiduri,TakingTheAsk,RT
BotSiduri,ImplantDetected,RT
BotSiduri,ImplantDetected,RT
WatchmanFromJP,kozonakamuratv,RT
ImplantDetected,ImplantDetected,Tweet
ImplantDetected,ImplantDetected,Tweet
truthseeker6761,Russianvids11,RT
FLATHORIZON,phy_add,RT
DroozinRPG,DAPFpodcast,RT
TakingTheAsk,TakingTheAsk,Tweet
MAR51874077,kozonakamuratv,RT
Constitution_NH,Constitution_NH,Tweet
MI_Constitution,MI_Constitution,Tweet
MEConstitution,ArjunUppal2,RT
MEConstitution,DAPFpodcast,RT
MEConstitution,thisisjerik,RT
WeenieLinguini,thisisjerik,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,ArjunUppal2,RT
WeenieLinguini,HiddenMountain7,RT
SolarElectrics,SolarElectrics,Tweet
FlatEarthCity,FlatEarthCity,Tweet
thisisjerik,thisisjerik,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
ArmoniaLise,bigredwavenow,RT
DAPFpodcast,DAPFpodcast,Tweet
EFT_Seattle,EFT_Seattle,RT
EFT_Seattle,EFT_Seattle,RT
ArjunUppal2,ArjunUppal2,Tweet
EFT_Seattle,EFT_Seattle,Tweet
EFT_Seattle,EFT_Seattle,Tweet
HiddenMountain7,HiddenMountain7,Tweet
EFT_Seattle,EFT_Seattle,RT
EFT_Seattle,EFT_Seattle,Tweet
Calilint,Nott_Like_The_O,RT
laridor1,bigredwavenow,RT
WilliamRCamero1,burnett_cain,RT
Lev2013MEorSTFU,Nott_Like_The_O,RT
grilabo,grilabo,Tweet
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,DenzilDamon,RT
WeenieLinguini,DenzilDamon,RT
sRonjOzNispy263,kozonakamuratv,RT
remyjsg,remyjsg,Tweet
DenzilDamon,DenzilDamon,Tweet
aleahchae,Spacehehehe,RT
aleahchae,indoflatearth,RT
TibeluthedT,TibeluthedT,Tweet
aleahchae,hopkapital,RT
helpfixstupid,helpfixstupid,Tweet
aleahchae,TrustFlatEarth,RT
DenzilDamon,DenzilDamon,Tweet
DAWNRestoRed88,debibug,RT
EFT_Seattle,EFT_Seattle,RT
EFT_Seattle,EFT_Seattle,Tweet
Robby42394165,RyanOrts,RT
mjwood16,redpill_beena,RT
EFT_Seattle,EFT_Seattle,RT
EFT_Seattle,EFT_Seattle,Tweet
EFT_Seattle,HelenRachelle,RT
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
DenzilDamon,DenzilDamon,Tweet
i2bfnW2FLfimvkI,grilabo,RT
EFT_Seattle,EFT_Seattle,Tweet
FlatEarthRT,ProofOfMe1,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ProofOfMe1,RT
WeenieLinguini,MasterDebateNet,RT
WeenieLinguini,RCB1172,RT
WeenieLinguini,Alec_M_Currier,RT
Constitution_NH,Constitution_NH,Tweet
smsm_sumo,kssdhr,RT
ProofOfMe1,ProofOfMe1,Tweet
MEConstitution,RCB1172,RT
MEConstitution,MasterDebateNet,RT
MEConstitution,HujumesipeT,RT
AmDigitalNews,bigredwavenow,RT
ljl_geek,Nott_Like_The_O,RT
lizmccoy1489,mamazilli,RT
lizmccoy1489,bigredwavenow,RT
BradfordArsena2,bigredwavenow,RT
Legs_for_days,RyanOrts,RT
CTw0wlL6wsejeFD,kozonakamuratv,RT
MasterDebateNet,MasterDebateNet,Tweet
sakthithebeast,alvinbryan21,RT
GPeaceelf,bigredwavenow,RT
RyanOrts,RyanOrts,Tweet
RCB1172,RCB1172,Tweet
979_7740,bigredwavenow,RT
althearosea1496,kozonakamuratv,RT
TaylorMcNeal6,Alec_M_Currier,RT
Seed_magda,_FlatEarthFC_,RT
nanaof47,nanaof47,Tweet
Alec_M_Currier,Alec_M_Currier,Tweet
nanaof47,nanaof47,Tweet
LOCRMUWO,_FlatEarthFC_,RT
nanaof47,nanaof47,Tweet
UsafmomI,KikiTBird,RT
TaylorMcNeal6,bigredwavenow,RT
MasterDebateNet,MasterDebateNet,Tweet
JohnIQSimeon,KikiTBird,RT
JohnIQSimeon,KikiTBird,RT
NinaMIngram1,bigredwavenow,RT
WeenieLinguini,EFT_Seattle,RT
WeenieLinguini,FlatFlix,RT
WeenieLinguini,_FlatEarthFC_,RT
WeenieLinguini,SmokeBreakMusic,RT
WeenieLinguini,lib7473,RT
LMp3aesoEU0R85N,kozonakamuratv,RT
WeenieLinguini,Janitor_Who,RT
UsafmomI,FlatFlix,RT
mamazilli,mamazilli,Tweet
KikiTBird,KikiTBird,Tweet
KikiTBird,KikiTBird,Tweet
EFT_Seattle,EFT_Seattle,Tweet
FlatFlix,FlatFlix,Tweet
JoxeCoral,_FlatEarthFC_,RT
Marifowl,_FlatEarthFC_,RT
FlatFlix,bigredwavenow,RT
cambissett1,bigredwavenow,RT
authoralexray,Spacehehehe,RT
BoHassan960,ashoukaFE,RT
_FlatEarthFC_,_FlatEarthFC_,Tweet
FatErnie33,phy_add,RT
UsafmomI,bigredwavenow,RT
hugh_bothwell,hugh_bothwell,Tweet
hugh_bothwell,hugh_bothwell,Tweet
SmokeBreakMusic,SmokeBreakMusic,Tweet
lib7473,lib7473,Tweet
lov26laugh,bigredwavenow,RT
KikiTBird,bigredwavenow,RT
nanaof47,bigredwavenow,RT
Energyshots14,bigredwavenow,RT
JohnIQSimeon,bigredwavenow,RT
bigredwavenow,bigredwavenow,RT
louiMrsJac,bigredwavenow,RT
ericarios73,bigredwavenow,RT
genxstan,bigredwavenow,RT
bigredwavenow,bigredwavenow,Tweet
Janitor_Who,Janitor_Who,Tweet
TibeluthedT,TibeluthedT,Tweet
christraynor,christraynor,RT
411Paranormal,411Paranormal,Tweet
BotSiduri,ericarios73,RT
BotSiduri,phy_add,RT
BotSiduri,HujumesipeT,RT
JorgeOrgon777,Spacehehehe,RT
NiqueAlexis,Nott_Like_The_O,RT
indio007,indio007,Tweet
Nott_Like_The_O,Nott_Like_The_O,Tweet
SeketricBarnes,SeketricBarnes,Tweet
finn_holloway,finn_holloway,Tweet
GPeaceelf,nanaof47,RT
phy_add,phy_add,Tweet
tanwirr_1,hopkapital,RT
ericarios73,ericarios73,Tweet
HujumesipeT,HujumesipeT,Tweet
RichardButon,RichardButon,Tweet
LsdLab,Spacehehehe,RT
LsdLab,flat_earth_fans,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionNd,Tweet
HelenRachelle,HelenRachelle,Tweet
JensBittner,Massengeschmack,RT
CobraElDiablo,CobraElDiablo,Tweet
CobraElDiablo,CobraElDiablo,Tweet
FlatEarth_Frida,FlatFlix,RT
FlatEarthReal2,FlatEarthReal2,Tweet
FlatEarthReal2,FlatEarthReal2,Tweet
FlatEarthReal2,FlatEarthReal2,Tweet
FlatEarthReal2,FlatEarthReal2,Tweet
WeenieLinguini,FlatEarthReal2,RT
WeenieLinguini,FlatEarthReal2,RT
WeenieLinguini,ANDIBLAIR1492,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,YochananYahweh,RT
WeenieLinguini,FlatEarthReal2,RT
FlatEarthReal2,FlatEarthReal2,Tweet
FlatEarthReal2,FlatEarthReal2,Tweet
ANDIBLAIR1492,ANDIBLAIR1492,Tweet
AdFreeTalkRadio,DAPFpodcast,RT
STSTCast,DAPFpodcast,RT
DAPFpodcast,DAPFpodcast,Tweet
NASALIES7,AndrewDibble3,RT
NASALIES7,MasterDebateNet,RT
NASALIES7,Spacehehehe,RT
YochananYahweh,YochananYahweh,Tweet
NASALIES7,flat_earth_fans,RT
FlatEarthReal2,FlatEarthReal2,Tweet
NASALIES7,NASALIES7,Tweet
TakingTheAsk,TakingTheAsk,Tweet
FlatEarthReal2,FlatEarthReal2,Tweet
nanaof47,nanaof47,Tweet
isikmoon,TrustFlatEarth,RT
RyTrader4,RyTrader4,Tweet
TibeluthedT,TibeluthedT,Tweet
BotSiduri,EpikSoothsayer,RT
BotSiduri,TranscendInside,RT
NotFadeAwayPod,DAPFpodcast,RT
WeenieLinguini,EpikSoothsayer,RT
TranscendInside,TranscendInside,Tweet
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,ShobhaParamh,RT
isikmoon,TrustFlatEarth,RT
whoopsbuni,whoopsbuni,Tweet
insouciiant,insouciiant,Tweet
Royal_Time,Gylauer,RT
Osher06N,Tim__OZman,RT
dsyzdek,dsyzdek,Tweet
NASALIES7,NASALIES7,Tweet
FlatEarthRT,DAPFpodcast,RT
FlatEarthRT,AngelsFreak7,RT
FlatEarthRT,EpikSoothsayer,RT
wiretechgirl,AngelsFreak7,RT
EpikSoothsayer,EpikSoothsayer,Tweet
FlatUnder,Spacehehehe,RT
NATINITE,Its_Stationary,RT
loseemselves,Snake_KGB,RT
Flat67823361,FlatHolland,RT
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
HumanityWake,HumanityWake,Tweet
MEConstitution,MasterDebateNet,RT
MEConstitution,ShobhaParamh,RT
MEConstitution,HujumesipeT,RT
stopAnnoyinDave,stopAnnoyinDave,Tweet
ShobhaParamh,ShobhaParamh,Tweet
imSajidS,Spacehehehe,RT
NASALIES7,NASALIES7,RT
NASALIES7,NASALIES7,Tweet
FeRealitat,Wifizoom,RT
WeenieLinguini,wakethesheeple,RT
WeenieLinguini,MasterDebateNet,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,DAPFpodcast,RT
WeenieLinguini,alvinbryan21,RT
wakethesheeple,wakethesheeple,Tweet
MasterDebateNet,MasterDebateNet,Tweet
AdFreeTalkRadio,AngelsFreak7,RT
AdFreeTalkRadio,DAPFpodcast,RT
AngelsFreak7,AngelsFreak7,Tweet
DAPFpodcast,DAPFpodcast,Tweet
KittyTwitz,alvinbryan21,RT
badibulgator,badibulgator,Tweet
WellHealed,_Gravity_Man,RT
HumanityWake,HumanityWake,Tweet
MrThanimai,alvinbryan21,RT
lorna80,TrustFlatEarth,RT
alvinbryan21,alvinbryan21,Tweet
lorna80,TrustFlatEarth,RT
lorna80,TrustFlatEarth,RT
lorna80,TrustFlatEarth,RT
GreyTonka,GreyTonka,Tweet
Tassdar3,Tassdar3,Tweet
MasterDebateNet,MasterDebateNet,Tweet
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,Daily_Express,RT
WeenieLinguini,burnett_cain,RT
WeenieLinguini,NASALIES7,RT
FECON110,FECON110,Tweet
TibeluthedT,TibeluthedT,Tweet
DeportesYMasCol,ABurdiez,RT
BotSiduri,Constitution_NH,RT
Daily_Express,Daily_Express,Tweet
BotSiduri,ConstitutionOR,RT
