,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
1424,Tweet,HanksterGuard,2122,1849,2,5879,,,,HanksterGuard,23738,22896,148,82739,,,
1425,RT,katgrneyes,2139,2524,99,117021,,,,Adjustedwell,23738,22896,148,82739,,,
1426,Tweet,Rachelbomb,5701,6158,4,20263,,,,Rachelbomb,23738,22896,148,82739,,,
1427,RT,TSWhite1960,947,1546,5,17126,,,,SherryAnders0n,989,719,0,20560,,,
1428,RT,LarryMcCool14,475,463,1,4424,,,,Adjustedwell,23738,22896,148,82739,,,
1429,RT,CaptainHottub,6802,7326,99,100565,,,,GlenWoodfin,74930,56608,899,73578,,,
1430,Tweet,TrueNewsGlobal,53323,53008,604,9010,,,,TrueNewsGlobal,74930,56608,899,73578,,,
1431,RT,byrdela,1135,843,30,50293,,,,nyinvesting,56751,56075,246,101992,,,
1432,RT,Mrusbport,47,113,0,356,,,,Adjustedwell,23738,22896,148,82739,,,
1433,RT,jdw822018,817,1869,18,27415,,,,GlenWoodfin,74930,56608,899,73578,,,
1434,RT,lopez42706768,3155,2827,3,54201,,,,zeusFanHouse,48231,43681,26,323887,,,
1435,RT,SchevM,1805,2641,2,67152,,,,GlenWoodfin,74930,56608,899,73578,,,
1436,RT,mshson,5264,5477,95,137596,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1437,RT,JanJanuzz,759,611,1,31514,,,,Adjustedwell,23738,22896,148,82739,,,
1438,RT,gajacquez,3234,4989,4,23129,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1439,RT,ken_roder,11,166,0,295,,,,Adjustedwell,23738,22896,148,82739,,,
1440,RT,Redpilled_Rita,394,353,0,33130,,,,Adjustedwell,23738,22896,148,82739,,,
1441,RT,ElisaRieger,448,284,3,40777,,,,Adjustedwell,23738,22896,148,82739,,,
1442,RT,lacey85makayla,515,496,2,8460,,,,Adjustedwell,23738,22896,148,82739,,,
1443,RT,bezoekme,276,75,1,27194,,,,Alexandratweet9,2529,1252,9,7461,,,
1444,RT,AutoMotoArt1,73,60,0,1619,,,,Adjustedwell,23738,22896,148,82739,,,
1445,RT,RosaPrieto4565,159,562,0,11286,,,,Adjustedwell,23738,22896,148,82739,,,
1446,RT,AnneMayberry5,476,489,3,4647,,,,conservogirl,7644,6535,195,150875,,,
1447,RT,Lindner_chll,1058,1472,0,6322,,,,Adjustedwell,23738,22896,148,82739,,,
1448,RT,2020Bigly,3627,4983,4,23914,,,,Tamaralynn212,11924,12703,222,191972,,,
1449,RT,tnacgal,12266,9508,216,275746,,,,disings,20820,17987,79,103126,,,
1450,RT,gennut,8371,9174,60,93139,,,,disings,20820,17987,79,103126,,,
1451,RT,NorthernBruceP,364,354,0,706,,,,ImabitcSumtimes,78241,74330,16,247367,,,
1452,RT,Patrick72040776,1867,2151,0,11274,,,,disings,20820,17987,79,103126,,,
1453,Tweet,JosephM45693115,20,751,0,569,,,,JosephM45693115,20820,17987,79,103126,,,
1454,RT,PattonSykes,4050,4987,2,34917,,,,ImabitcSumtimes,78241,74330,16,247367,,,
