,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
116,Tweet,Photo59Smart,269,618,11,33092,,,,Photo59Smart,220601,4308,4869,271462,,,
117,RT,PinkDove7,293,1496,7,15118,,,,TrinityResists,89440,34400,180,101421,,,
118,RT,Tarzan_Dreg,6450,6472,0,43191,,,,BuckSexton,306398,1484,2447,31362,,,
119,RT,MadProspector74,1256,1995,1,26633,,,,BuckSexton,306398,1484,2447,31362,,,
120,Tweet,DudekLinda,4554,4993,7,157108,,,,DudekLinda,306398,1484,2447,31362,,,
121,RT,shiplyka,22953,25154,4,131822,,,,BuckSexton,306398,1484,2447,31362,,,
122,RT,ReSistaNanC,2270,2877,0,23448,,,,TrinityResists,89440,34400,180,101421,,,
123,RT,BanditTaco,64,222,3,5120,,,,TrinityResists,89440,34400,180,101421,,,
124,Tweet,glsrbrown,165,1288,0,10522,,,,glsrbrown,89440,34400,180,101421,,,
125,Tweet,Elusive64908788,96,166,0,696,,,,Elusive64908788,89440,34400,180,101421,,,
126,RT,llakin123,59,1899,0,3289,,,,BarbMcQuade,305362,1000,1495,3476,,,
127,Tweet,AgnesClackett,128,1080,0,10878,,,,AgnesClackett,305362,1000,1495,3476,,,
128,RT,kjd_kimd63,858,1748,5,124652,,,,emptywheel,220601,4308,4869,271462,,,
129,RT,dmloewi,487,1551,1,61931,,,,Mimirocah1,388492,2536,2160,12984,,,
130,Tweet,THA_KZZA,284,468,41,50281,,,,THA_KZZA,388492,2536,2160,12984,,,
131,Tweet,MaryAliceBisho2,2870,3845,22,425343,,,,MaryAliceBisho2,388492,2536,2160,12984,,,
132,RT,nneill2,78,102,4,1164,,,,BarbMcQuade,305362,1000,1495,3476,,,
133,RT,suki3hunna,325,139,13,159635,,,,Mimirocah1,388492,2536,2160,12984,,,
134,RT,AussiePunter32,1084,85,5,71120,,,,TrinityResists,89440,34400,180,101421,,,
135,RT,Taffy257,167,1012,3,2113,,,,BarbMcQuade,305362,1000,1495,3476,,,
136,Tweet,stepasidehombre,350,267,0,8833,,,,stepasidehombre,305362,1000,1495,3476,,,
137,RT,rferreri63,91,295,1,13157,,,,JasonJacquet3,217,17,10,5714,,,
138,RT,rferreri63,91,295,1,13157,,,,Mimirocah1,388492,2536,2160,12984,,,
139,Tweet,FrankG1194,861,2052,0,7872,,,,FrankG1194,388492,2536,2160,12984,,,
140,RT,overhead440,28590,31395,113,362419,,,,missjaydee23,1860,2036,52,26438,,,
141,Tweet,catzam,2,41,0,42,,,,catzam,1860,2036,52,26438,,,
142,RT,DorrellDana,5585,5993,0,4825,,,,SallyGirlUSA,4927,3783,13,13087,,,
143,Tweet,wolftrainer09,109,588,1,18310,,,,wolftrainer09,4927,3783,13,13087,,,
144,RT,HollyGilder,122,106,1,127689,,,,emptywheel,220601,4308,4869,271462,,,
145,RT,DrTimBoone,5815,6363,6,34239,,,,emptywheel,220601,4308,4869,271462,,,
146,RT,ToniDragon6540,13616,14940,28,108823,,,,TrinityResists,89440,34400,180,101421,,,
147,Tweet,cycleguy57,406,234,4,17705,,,,cycleguy57,89440,34400,180,101421,,,
148,Tweet,Devinbret,79,363,0,3707,,,,Devinbret,89440,34400,180,101421,,,
149,RT,BrianHines195,227,547,3,25524,,,,DeepStateExpose,296243,308446,1194,53785,,,
150,RT,mize_gene,200,1464,0,4244,,,,RachelandWolf,191,154,2,4871,,,
151,Tweet,Dragonfly_Drama,5520,6072,22,69097,,,,Dragonfly_Drama,191,154,2,4871,,,
152,Tweet,richard72127722,533,1930,6,9418,,,,richard72127722,191,154,2,4871,,,
153,RT,jmapl2,113,1090,0,12947,,,,BarbMcQuade,305362,1000,1495,3476,,,
154,RT,windflower56,716,1271,1,3396,,,,BarbMcQuade,305362,1000,1495,3476,,,
155,RT,SunnyTAZ,1648,2425,36,87573,,,,BarbMcQuade,305362,1000,1495,3476,,,
156,RT,openpodbaydoor_,10442,11186,106,348380,,,,2020eScribbles,119,845,0,5027,,,
157,RT,nosycyndie,734,1526,2,12183,,,,BarbMcQuade,305362,1000,1495,3476,,,
158,RT,TeresaCCarter2,1143,2599,1,11559,,,,emptywheel,220601,4308,4869,271462,,,
159,RT,CarolMartinovi1,314,198,0,121171,,,,TrinityResists,89440,34400,180,101421,,,
160,RT,KevinTriforce,276,2502,4,8978,,,,TrinityResists,89440,34400,180,101421,,,
161,Tweet,knapp_ramer,90,271,0,4349,,,,knapp_ramer,89440,34400,180,101421,,,
162,RT,yaggawagga,21,186,0,7521,,,,emptywheel,220601,4308,4869,271462,,,
163,Tweet,borrfdad,121,502,2,2548,,,,borrfdad,220601,4308,4869,271462,,,
164,RT,TheScottLove,658,3554,48,53228,,,,emptywheel,220601,4308,4869,271462,,,
165,RT,carynmiller2,671,185,10,108781,,,,BarbMcQuade,305362,1000,1495,3476,,,
166,RT,serengetisun,2184,3834,388,324455,,,,DarlaDawnDD,2116,2466,0,3252,,,
167,RT,omondi_edwin,4666,4853,6,51406,,,,Mimirocah1,388492,2536,2160,12984,,,
168,RT,gdshaver16,13400,13115,35,154994,,,,Jordan_Sather_,117541,1246,871,17463,,,
169,RT,VulcanPrincess6,190,1202,0,32592,,,,emptywheel,220601,4308,4869,271462,,,
170,Tweet,JoshuaVanDuyn,5618,5915,2,4174,,,,JoshuaVanDuyn,220601,4308,4869,271462,,,
171,RT,Snipthia,1059,1045,16,12623,,,,Mimirocah1,388492,2536,2160,12984,,,
172,RT,GarethFouche,1241,2939,144,98102,,,,Mimirocah1,388492,2536,2160,12984,,,
173,RT,mapspen,80,344,2,51177,,,,emptywheel,220601,4308,4869,271462,,,
174,RT,Mjgirard2,2999,4999,0,40874,,,,emptywheel,220601,4308,4869,271462,,,
175,RT,Wandacalabrese1,356,591,0,58585,,,,Mimirocah1,388492,2536,2160,12984,,,
176,RT,ConcernedTXMom,2512,3947,1,20453,,,,emptywheel,220601,4308,4869,271462,,,
177,RT,waldograce,160,80,1,106491,,,,emptywheel,220601,4308,4869,271462,,,
178,RT,beverlytran,436,1957,21,15010,,,,BarbMcQuade,305362,1000,1495,3476,,,
179,RT,Jessica75092588,684,1602,0,4732,,,,BarbMcQuade,305362,1000,1495,3476,,,
180,RT,dreamcatchermja,1100,5001,16,203663,,,,emptywheel,220601,4308,4869,271462,,,
181,RT,Clarivethxoxo,221,269,1,38192,,,,RachelandWolf,191,154,2,4871,,,
182,RT,Catenigma,3415,4217,18,149527,,,,BarbMcQuade,305362,1000,1495,3476,,,
183,RT,Lauraslifeonink,3390,2636,25,42561,,,,TrinityResists,89440,34400,180,101421,,,
184,Tweet,MareLouThom,382,553,1,15167,,,,MareLouThom,89440,34400,180,101421,,,
